latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
-46.55813407222221,-67.43282183888891,34.8015,14.90361,306,2019,34.8015,-11007979.867
-46.558134127777784,-67.43282185277778,34.7914,14.90389,306,2019,34.7914,-11007808.319
-46.5581341361111,-67.43282185277778,34.7869,14.90416,306,2019,34.7869,-11007636.927
-46.55813410277777,-67.43282185000001,34.785,14.90444,306,2019,34.7850,-11007465.607
-46.55813406111111,-67.43282185277778,34.7844,14.90472,306,2019,34.7844,-11007294.221
-46.55813399444444,-67.43282185000001,34.7879,14.90500,306,2019,34.7879,-11007122.839
-46.55813395,-67.43282184722223,34.7901,14.90528,306,2019,34.7901,-11006951.683
-46.55813391388888,-67.43282183888891,34.7935,14.90555,306,2019,34.7935,-11006780.540
-46.55813388888889,-67.43282183333335,34.7971,14.90583,306,2019,34.7971,-11006609.387
-46.55813385833333,-67.43282183888891,34.8015,14.90611,306,2019,34.8015,-11006438.387
-46.558133822222224,-67.43282183611113,34.8047,14.90639,306,2019,34.8047,-11006267.568
-46.55813378611111,-67.43282183055557,34.807,14.90666,306,2019,34.8070,-11006096.742
-46.558133758333334,-67.43282182499999,34.8084,14.90694,306,2019,34.8084,-11005925.870
-46.55813373888888,-67.43282181666667,34.8085,14.90722,306,2019,34.8085,-11005755.005
-46.55813371388889,-67.43282181388889,34.8095,14.90750,306,2019,34.8095,-11005584.310
-46.55813369166666,-67.43282180555556,34.8114,14.90778,306,2019,34.8114,-11005413.544
-46.55813366944444,-67.43282179722223,34.8131,14.90805,306,2019,34.8131,-11005242.821
-46.55813364444443,-67.43282178333334,34.8158,14.90833,306,2019,34.8158,-11005072.148
-46.55813362777778,-67.43282176944444,34.8172,14.90861,306,2019,34.8172,-11004901.629
-46.5581336111111,-67.43282175555558,34.8186,14.90889,306,2019,34.8186,-11004731.027
-46.55813359444444,-67.43282174722223,34.8188,14.90916,306,2019,34.8188,-11004560.417
-46.55813356666666,-67.43282174444445,34.8185,14.90944,306,2019,34.8185,-11004389.900
-46.558133541666656,-67.43282173611112,34.8188,14.90972,306,2019,34.8188,-11004220.020
-46.5581335111111,-67.43282173611112,34.8192,14.91000,306,2019,34.8192,-11004049.890
-46.558133488888885,-67.43282173055556,34.8199,14.91028,306,2019,34.8199,-11003879.834
-46.55813347222222,-67.43282172500003,34.8223,14.91055,306,2019,34.8223,-11003709.435
-46.55813345277777,-67.43282171944445,34.8246,14.91083,306,2019,34.8246,-11003539.137
-46.55813344722221,-67.43282171944445,34.8261,14.91111,306,2019,34.8261,-11003368.460
-46.55813344444444,-67.43282171944445,34.8281,14.91139,306,2019,34.8281,-11003198.050
-46.55813343888888,-67.4328217138889,34.8309,14.91166,306,2019,34.8309,-11003027.120
-46.55813343333333,-67.4328217138889,34.8351,14.91194,306,2019,34.8351,-11002856.451
-46.55813343333333,-67.43282171111112,34.8393,14.91222,306,2019,34.8393,-11002685.403
-46.55813343333333,-67.43282170833334,34.8432,14.91250,306,2019,34.8432,-11002514.531
-46.55813343055555,-67.43282171111112,34.8464,14.91278,306,2019,34.8464,-11002343.291
-46.558133427777776,-67.43282171666667,34.8492,14.91305,306,2019,34.8492,-11002172.005
-46.55813343055555,-67.4328217138889,34.8544,14.91333,306,2019,34.8544,-11002000.594
-46.558133424999994,-67.43282171111112,34.858,14.91361,306,2019,34.8580,-11001829.217
-46.55813341666666,-67.43282170555555,34.8627,14.91389,306,2019,34.8627,-11001657.949
-46.55813341666666,-67.43282170000002,34.8668,14.91416,306,2019,34.8668,-11001486.869
-46.55813341944443,-67.43282170000002,34.8702,14.91444,306,2019,34.8702,-11001315.781
-46.55813342222222,-67.43282169722224,34.8714,14.91472,306,2019,34.8714,-11001144.758
-46.55813343333333,-67.43282169722224,34.8701,14.91500,306,2019,34.8701,-11000973.832
-46.558133441666655,-67.43282170000002,34.8672,14.91528,306,2019,34.8672,-11000803.016
-46.55813345833333,-67.43282170000002,34.8652,14.91555,306,2019,34.8652,-11000632.302
-46.558133463888886,-67.43282170000002,34.8655,14.91583,306,2019,34.8655,-11000461.498
-46.55813346944444,-67.43282170000002,34.8654,14.91611,306,2019,34.8654,-11000290.590
-46.55813347499999,-67.43282170000002,34.8647,14.91639,306,2019,34.8647,-11000119.708
-46.55813348611111,-67.43282170000002,34.864,14.91666,306,2019,34.8640,-10999948.907
-46.55813349444445,-67.43282170000002,34.8668,14.91694,306,2019,34.8668,-10999778.173
-46.558133488888885,-67.43282170000002,34.8673,14.91722,306,2019,34.8673,-10999607.322
-46.55813348055555,-67.43282170000002,34.8665,14.91750,306,2019,34.8665,-10999436.437
-46.55813347222222,-67.43282169722224,34.8649,14.91777,306,2019,34.8649,-10999265.631
-46.55813346111111,-67.43282169722224,34.8647,14.91805,306,2019,34.8647,-10999095.419
